,year,bid,maxirr_season,crop,irrig_method,yield_pychamp_bu,yield_aquacrop_bu
40,2012,b41,0.0,corn,0,0.0,N/A
41,2012,b42,0.0,corn,0,0.0,N/A
42,2012,b43,261.9279952,others,1,0.70213593,N/A
43,2012,b44,0.0,corn,0,0.0,N/A
44,2012,b45,0.0,corn,0,0.0,N/A
45,2012,b46,0.0,others,0,0.17237215,N/A
46,2012,b47,0.0,others,0,0.17237215,N/A
47,2012,b48,0.0,others,0,0.17237215,N/A
48,2012,b49,438.5085966,corn,1,2.19694416,20383.071865458332
49,2012,b50,0.0,others,0,0.17237215,N/A
50,2012,b51,0.0,corn,0,0.0,N/A
51,2012,b52,0.0,others,0,0.16523099,N/A
52,2012,b53,0.0,corn,0,0.0,N/A
53,2012,b54,0.0,others,0,0.19535318,N/A
54,2012,b55,258.5495538,others,1,0.70180175,N/A
55,2012,b56,0.0,others,0,0.19535318,N/A
56,2012,b57,263.02325559999997,others,1,0.70160134,N/A
57,2012,b58,433.891154,corn,1,2.1923629,20375.86832321681
58,2012,b59,263.3718052,others,1,0.70190983,N/A
59,2012,b60,263.5077729,others,1,0.7020299,N/A
60,2012,b61,433.934875,corn,1,2.19247412,20375.93296388005
61,2012,b62,0.0,corn,0,0.0,N/A
62,2012,b63,0.0,others,0,0.16771986,N/A
63,2012,b64,0.0,corn,0,0.0,N/A
64,2012,b65,0.0,corn,0,0.0,N/A
65,2012,b66,0.0,corn,0,0.0,N/A
66,2012,b67,429.5824072,corn,1,2.19335639,20373.02434519419
67,2012,b68,263.1926852,others,1,0.70175142,N/A
68,2012,b69,0.0,corn,0,0.0,N/A
69,2012,b70,0.0,corn,0,0.0,N/A
70,2012,b71,433.91564860000005,corn,1,2.19242521,20375.906224600836
71,2012,b72,433.9266223,corn,1,2.19245313,20375.9273149571
72,2012,b73,264.0187062,others,1,0.70247971,N/A
73,2012,b74,0.0,others,0,0.16771986,N/A
74,2012,b75,270.8547606,others,1,0.70468026,N/A
75,2012,b76,429.6114885,corn,1,2.19343007,20373.032286362788
76,2012,b77,429.599914,corn,1,2.19340075,20373.030192495393
77,2012,b78,258.7463807,others,1,0.7019757,N/A
78,2012,b79,0.0,corn,0,0.0,N/A
79,2012,b80,433.8688306,corn,1,2.1923061,20375.838799564182
80,2012,b81,433.8520840000001,corn,1,2.19226347,20375.80406823096
81,2012,b82,433.8980004,corn,1,2.19238032,20375.882117932615
82,2012,b83,433.9080659,corn,1,2.19240593,20375.892170264946
83,2012,b84,0.0,corn,0,0.0,N/A
84,2012,b85,433.9368906,corn,1,2.19247924,20375.93536150882
85,2012,b86,0.0,others,0,0.16771986,N/A
86,2012,b87,429.6073122,corn,1,2.19341949,20373.032286362788
87,2012,b88,258.695552,others,1,0.70193081,N/A
88,2012,b89,258.53599330000003,others,1,0.70178975,N/A
89,2012,b90,429.5888128,corn,1,2.19337262,20373.025596762862
90,2012,b91,262.8629801,others,1,0.70145915,N/A
91,2012,b92,433.8415092,corn,1,2.19223656,20375.795688691414
92,2012,b93,433.8634636,corn,1,2.19229244,20375.831295748354
93,2012,b94,433.9064456,corn,1,2.1924018,20375.887891283866
94,2012,b95,0.0,corn,0,0.0,N/A
95,2012,b96,433.9294159,corn,1,2.19246023,20375.930958142242
96,2012,b97,429.82744420000006,corn,1,2.20193255,20373.071089271474
97,2012,b98,429.8205808,corn,1,2.20191577,20373.06845041735
98,2012,b99,429.8033633,corn,1,2.20187367,20373.066642124202
99,2012,b100,429.8009479,corn,1,2.20186776,20373.066642124202
100,2012,b101,431.2810742,corn,1,2.1941121,20373.289157969513
101,2012,b102,431.2714949,corn,1,2.19408789,20373.287795514483
102,2012,b103,0.0,others,0,0.19109887,N/A
103,2012,b104,260.55994680000003,others,1,0.70234017,N/A
104,2012,b105,431.3015543,corn,1,2.19416383,20373.293116246434
105,2012,b106,0.0,others,0,0.19109887,N/A
106,2012,b107,0.0,others,0,0.17946936,N/A
107,2012,b108,0.0,others,0,0.17946936,N/A
108,2012,b109,0.0,corn,0,0.0,N/A
109,2012,b110,429.809606,corn,1,2.20188893,20373.066642124202
110,2012,b111,429.7889384,corn,1,2.20183839,20373.06268142801
111,2012,b112,429.7891067,corn,1,2.2018388,20373.06268142801
112,2012,b113,0.0,corn,0,0.0,N/A
113,2012,b114,431.2813681,corn,1,2.19411284,20373.289157969513
114,2012,b115,431.2886342000001,corn,1,2.1941312,20373.290443400743
115,2012,b116,431.2978801,corn,1,2.19415455,20373.291771659206
116,2012,b117,260.8896229,others,1,0.70262969,N/A
117,2012,b118,266.3981066,others,1,0.7041156,N/A
118,2012,b119,429.8154772,corn,1,2.20190329,20373.067145149962
119,2012,b120,429.8075701,corn,1,2.20188395,20373.066642124202
120,2012,b121,258.8404976,others,1,0.70483933,N/A
121,2012,b122,429.7935564,corn,1,2.20184969,20373.064007717963
122,2012,b123,260.26891509999996,others,1,0.70208384,N/A
123,2012,b124,0.0,corn,0,0.0,N/A
124,2012,b125,431.2851352,corn,1,2.19412236,20373.289157969513
125,2012,b126,431.2941458,corn,1,2.19414512,20373.291771659206
126,2012,b127,0.0,corn,0,0.0,N/A
127,2012,b128,436.8629325,corn,1,2.19857256,20381.25462400452
128,2012,b129,0.0,others,0,0.20501617,N/A
129,2012,b130,429.7981422,corn,1,2.2018609,20373.064007717963
130,2012,b131,429.7954245,corn,1,2.20185425,20373.064007717963
131,2012,b132,429.7950546,corn,1,2.20185335,20373.064007717963
132,2012,b133,260.1758153,others,1,0.70200169,N/A
133,2012,b134,431.2785609,corn,1,2.19410575,20373.287829711222
134,2012,b135,0.0,others,0,0.19109887,N/A
135,2012,b136,431.2903043,corn,1,2.19413541,20373.290443400743
136,2012,b137,431.29941,corn,1,2.19415842,20373.291805828358
137,2012,b138,436.8670892,corn,1,2.19858287,20381.2572267627
138,2012,b139,0.0,corn,0,0.0,N/A
139,2012,b140,429.8002039,corn,1,2.20186594,20373.066642124202
140,2012,b141,258.7393224,others,1,0.70475272,N/A
141,2012,b142,429.7980616,corn,1,2.2018607,20373.064007717963
142,2012,b143,258.8145103,others,1,0.70481709,N/A
143,2012,b144,431.2846677,corn,1,2.19412118,20373.289157969513
144,2012,b145,431.2778926,corn,1,2.19410406,20373.287829711222
145,2012,b146,431.2820835,corn,1,2.19411465,20373.289157969513
146,2012,b147,0.0,corn,0,0.0,N/A
147,2012,b148,431.28672629999994,corn,1,2.19412638,20373.289157969513
148,2012,b149,431.302951,corn,1,2.19416736,20373.293116246434
149,2012,b150,436.8630376,corn,1,2.19857282,20381.25462400452
150,2012,b151,436.8732353,corn,1,2.19859811,20381.2584674825
151,2012,b152,428.3825234,corn,1,2.20833185,20367.56595127189
152,2012,b153,257.4813388,others,1,0.70715326,N/A
153,2012,b154,0.0,others,0,0.21727252,N/A
154,2012,b155,257.3272943,others,1,0.70702486,N/A
155,2012,b156,0.0,corn,0,0.0,N/A
156,2012,b157,430.0472753,corn,1,2.19878165,20373.098805109195
157,2012,b158,430.0477182,corn,1,2.19878275,20373.098805109195
158,2012,b159,0.0,others,0,0.20049724,N/A
159,2012,b160,430.0352342,corn,1,2.19875181,20373.09745203259
160,2012,b161,433.8515718,corn,1,2.19978135,20375.80582294747
161,2012,b162,0.0,corn,0,0.0,N/A
162,2012,b163,428.4224506000001,corn,1,2.20842669,20367.654489067856
163,2012,b164,0.0,corn,0,0.0,N/A
164,2012,b165,0.0,corn,0,0.0,N/A
165,2012,b166,430.0489956,corn,1,2.19878591,20373.098805109195
166,2012,b167,259.4818265,others,1,0.70410156,N/A
167,2012,b168,430.0241505,corn,1,2.19872434,20373.093959272264
168,2012,b169,430.0226203,corn,1,2.19872055,20373.092932141677
169,2012,b170,430.0306197,corn,1,2.19874037,20373.094836214186
170,2012,b171,0.0,corn,0,0.0,N/A
171,2012,b172,433.8573142,corn,1,2.19979552,20375.815593724605
172,2012,b173,436.004861,corn,1,2.20430962,20381.11695800127
173,2012,b174,0.0,others,0,0.19018512,N/A
174,2012,b175,0.0,corn,0,0.0,N/A
175,2012,b176,433.8676482,corn,1,2.19982101,20375.83663010801
176,2012,b177,428.4188017,corn,1,2.20841802,20367.64412118336
177,2012,b178,428.413997,corn,1,2.20840661,20367.633669513227
178,2012,b179,428.4120336,corn,1,2.20840195,20367.63022126471
179,2012,b180,0.0,others,0,0.20049724,N/A
180,2012,b181,259.5381835,others,1,0.70415017,N/A
181,2012,b182,430.0242796,corn,1,2.19872466,20373.093959272264
182,2012,b183,0.0,corn,0,0.0,N/A
183,2012,b184,0.0,corn,0,0.0,N/A
184,2012,b185,430.0389122,corn,1,2.19876092,20373.098805109195
185,2012,b186,0.0,corn,0,0.0,N/A
186,2012,b187,433.8531538,corn,1,2.19978525,20375.806335017383
187,2012,b188,0.0,corn,0,0.0,N/A
188,2012,b189,0.0,corn,0,0.0,N/A
189,2012,b190,433.8635179,corn,1,2.19981082,20375.831295748354
190,2012,b191,258.0119206,others,1,0.70759398,N/A
191,2012,b192,0.0,others,0,0.21727252,N/A
192,2012,b193,0.0,others,0,0.21727252,N/A
193,2012,b194,428.4155915,corn,1,2.2084104,20367.636680161155
194,2012,b195,0.0,others,0,0.20049724,N/A
195,2012,b196,430.0192719,corn,1,2.19871225,20373.092932141677
196,2012,b197,430.02445379999995,corn,1,2.19872509,20373.093959272264
197,2012,b198,0.0,corn,0,0.0,N/A
198,2012,b199,0.0,corn,0,0.0,N/A
199,2012,b200,430.04784,corn,1,2.19878305,20373.098805109195
200,2012,b201,433.8482577,corn,1,2.19977317,20375.807849249115
201,2012,b202,0.0,others,0,0.19018512,N/A
202,2012,b203,436.0736477,corn,1,2.20447598,20381.127855558905
203,2012,b204,0.0,others,0,0.18927061,N/A
204,2012,b205,435.4378499,corn,1,2.20293367,20378.925233249087
205,2012,b206,433.9107614,corn,1,2.19992735,20375.89962193348
206,2012,b207,433.8992663,corn,1,2.199899,20375.88378299816
207,2012,b208,433.8695273,corn,1,2.19982565,20375.840975197018
208,2012,b209,0.0,corn,0,0.0,N/A
209,2012,b210,424.2050824,corn,1,2.213316,20365.3447733557
210,2012,b211,0.0,corn,0,0.0,N/A
211,2012,b212,0.0,others,0,0.23583325,N/A
212,2012,b213,0.0,others,0,0.21727252,N/A
213,2012,b214,427.8533141,corn,1,2.20707096,20366.88221939219
214,2012,b215,427.8582793000001,corn,1,2.20708282,20366.892690763994
215,2012,b216,427.8582434,corn,1,2.20708273,20366.89262297748
216,2012,b217,427.8594281,corn,1,2.20708556,20366.892146548573
217,2012,b218,427.8618945,corn,1,2.20709146,20366.893549454075
218,2012,b219,0.0,others,0,0.19868443,N/A
219,2012,b220,0.0,others,0,0.18835536,N/A
220,2012,b221,437.3053341,corn,1,2.20671708,20381.328036401614
221,2012,b222,0.0,corn,0,0.0,N/A
222,2012,b223,0.0,others,0,0.19868443,N/A
223,2012,b224,262.52134609999996,others,1,0.70618156,N/A
224,2012,b225,0.0,corn,0,0.0,N/A
225,2012,b226,0.0,corn,0,0.0,N/A
226,2012,b227,424.1578354,corn,1,2.21320633,20365.336006421137
227,2012,b228,427.8625153,corn,1,2.20709294,20366.895368826208
228,2012,b229,427.8576356,corn,1,2.20708128,20366.894201348838
229,2012,b230,427.8533794,corn,1,2.20707111,20366.882342691788
230,2012,b231,0.0,corn,0,0.0,N/A
231,2012,b232,0.0,others,0,0.19868443,N/A
232,2012,b233,0.0,corn,0,0.0,N/A
233,2012,b234,433.1326326,corn,1,2.20486,20374.670356147646
234,2012,b235,427.8629379,corn,1,2.20709395,20366.8948351386
235,2012,b236,433.130341,corn,1,2.20485447,20374.66112523833
236,2012,b237,433.1716721,corn,1,2.20495419,20374.7294273932
237,2012,b238,0.0,corn,0,0.0,N/A
238,2012,b239,0.0,others,0,0.23583325,N/A
239,2012,b240,424.200123,corn,1,2.21330449,20365.344418303925
240,2012,b241,424.1891437999999,corn,1,2.21327901,20365.34241017217
241,2012,b242,427.8674784,corn,1,2.2071048,20366.895817043463
242,2012,b243,427.8621103,corn,1,2.20709197,20366.89327638828
243,2012,b244,437.3156452,corn,1,2.20674175,20381.33068973562
244,2012,b245,427.8572822,corn,1,2.20708044,20366.89588861053
245,2012,b246,0.0,others,0,0.21727252,N/A
246,2012,b247,0.0,others,0,0.19868443,N/A
247,2012,b248,433.15774079999994,corn,1,2.20492058,20374.709784629576
248,2012,b249,0.0,others,0,0.23583325,N/A
249,2012,b250,0.0,others,0,0.23583325,N/A
250,2012,b251,424.2330634000001,corn,1,2.21338092,20365.36278807036
251,2012,b252,424.2299639,corn,1,2.21337373,20365.36278807036
252,2012,b253,427.9311106,corn,1,2.20725677,20366.964121533703
253,2012,b254,427.9244331999999,corn,1,2.20724083,20366.961133754514
254,2012,b255,427.8659244,corn,1,2.20710109,20366.89659423294
255,2012,b256,256.8066784,others,1,0.70658947,N/A
256,2012,b257,427.91506159999994,corn,1,2.20721845,20366.948725869785
257,2012,b258,0.0,others,0,0.21727252,N/A
258,2012,b259,0.0,corn,0,0.0,N/A
259,2012,b260,424.7840303,corn,1,2.21465516,20365.488892962778
260,2012,b261,0.0,others,0,0.23583325,N/A
261,2012,b262,0.0,others,0,0.23583325,N/A
262,2012,b263,424.2311731,corn,1,2.21337653,20365.36278807036
263,2012,b264,0.0,others,0,0.21727252,N/A
264,2012,b265,427.9324494,corn,1,2.20725997,20366.97419395807
265,2012,b266,257.599147,others,1,0.70725132,N/A
266,2012,b267,427.8764383,corn,1,2.2071262,20366.91062013798
267,2012,b268,427.9294331,corn,1,2.20725276,20366.962387200307
268,2012,b269,427.9298821,corn,1,2.20725384,20366.963234997776
269,2012,b270,263.0257551,others,1,0.70660547,N/A
270,2012,b271,425.4992041,corn,1,2.22654287,20365.68792639968
271,2012,b272,0.0,others,0,0.24917721,N/A
272,2012,b273,0.0,corn,0,0.0,N/A
273,2012,b274,429.4069545,corn,1,2.22150609,20372.994872719715
274,2012,b275,0.0,others,0,0.23115066,N/A
275,2012,b276,0.0,others,0,0.23115066,N/A
276,2012,b277,429.4053908,corn,1,2.22150261,20372.994369528213
277,2012,b278,429.3818621,corn,1,2.2214502,20372.988173717767
278,2012,b279,0.0,others,0,0.20321084,N/A
279,2012,b280,0.0,others,0,0.24917721,N/A
280,2012,b281,425.5101797,corn,1,2.22656666,20365.690113215853
281,2012,b282,255.0282937,others,1,0.7138919,N/A
282,2012,b283,0.0,corn,0,0.0,N/A
283,2012,b284,0.0,corn,0,0.0,N/A
284,2012,b285,0.0,corn,0,0.0,N/A
285,2012,b286,429.35735,corn,1,2.22139559,20372.985539338464
286,2012,b287,429.9484615,corn,1,2.22270826,20373.078583280887
287,2012,b288,259.7890752,others,1,0.71278565,N/A
288,2012,b289,0.0,others,0,0.20321084,N/A
289,2012,b290,0.0,others,0,0.20321084,N/A
290,2012,b291,0.0,others,0,0.24917721,N/A
291,2012,b292,425.4894084,corn,1,2.22652164,20365.68662250007
292,2012,b293,425.476759,corn,1,2.22649421,20365.683773713095
293,2012,b294,0.0,others,0,0.23115066,N/A
294,2012,b295,0.0,corn,0,0.0,N/A
295,2012,b296,0.0,others,0,0.23115066,N/A
296,2012,b297,429.956525,corn,1,2.2227261,20373.079086309
297,2012,b298,429.9549776,corn,1,2.22272268,20373.079086309
298,2012,b299,0.0,corn,0,0.0,N/A
299,2012,b300,0.0,corn,0,0.0,N/A
300,2012,b301,0.0,corn,0,0.0,N/A
301,2012,b302,0.0,others,0,0.23115066,N/A
302,2012,b303,429.9644565,corn,1,2.22274365,20373.08208599706
303,2012,b304,429.9627728,corn,1,2.22273993,20373.08076674647
304,2012,b305,435.7223404,corn,1,2.21451288,20381.074085988057
305,2012,b306,0.0,others,0,0.23874907,N/A
306,2012,b307,258.0182309,others,1,0.71342508,N/A
307,2012,b308,428.1985886,corn,1,2.22458021,20367.25586833871
308,2012,b309,257.9870225,others,1,0.71340112,N/A
309,2012,b310,0.0,corn,0,0.0,N/A
310,2012,b311,0.0,corn,0,0.0,N/A
311,2012,b312,0.0,others,0,0.23874907,N/A
312,2012,b313,0.0,others,0,0.21756972,N/A
313,2012,b314,0.0,others,0,0.21756972,N/A
314,2012,b315,428.3241419,corn,1,2.22485509,20367.430817283115
315,2012,b316,0.0,others,0,0.23874907,N/A
316,2012,b317,428.2737248,corn,1,2.22474476,20367.33514627101
317,2012,b318,428.272031,corn,1,2.22474105,20367.33636996022
318,2012,b319,0.0,others,0,0.21756972,N/A
319,2012,b320,0.0,others,0,0.21756972,N/A
320,2012,b321,428.3363127,corn,1,2.22488171,20367.450834322437
321,2012,b322,428.3276685,corn,1,2.2248628,20367.441371096167
322,2012,b323,0.0,others,0,0.23874907,N/A
323,2012,b324,0.0,others,0,0.23874907,N/A
324,2012,b325,433.1646596000001,corn,1,2.21962103,20374.719334708294
325,2012,b326,433.1221063,corn,1,2.2195253,20374.653092092634
326,2012,b327,0.0,corn,0,0.0,N/A
327,2012,b328,428.3390778,corn,1,2.22488776,20367.460392636967
328,2012,b329,0.0,corn,0,0.0,N/A
329,2012,b330,0.0,others,0,0.23874907,N/A
330,2012,b331,433.1991781,corn,1,2.21969864,20374.774757954863
331,2012,b332,433.1986235,corn,1,2.21969739,20374.777900522684
332,2012,b333,0.0,others,0,0.22997669,N/A
333,2012,b334,0.0,others,0,0.22997669,N/A
334,2012,b335,0.0,others,0,0.21816385,N/A
335,2012,b336,263.7397542,others,1,0.71243676,N/A
336,2013,b1,0.0,others,0,0.56981456,N/A
337,2013,b2,173.90495520000002,others,1,0.74417196,N/A
338,2013,b3,0.0,others,0,0.56981456,N/A
339,2013,b4,279.5593254,corn,1,2.21134403,25013.397446168725
340,2013,b5,0.0,others,0,0.56249582,N/A
341,2013,b6,0.0,others,0,0.56981456,N/A
342,2013,b7,279.5106813,corn,1,2.21123005,25013.38686399249
343,2013,b8,0.0,others,0,0.56981456,N/A
344,2013,b9,279.5839105,corn,1,2.21140162,25013.406784179857
345,2013,b10,0.0,others,0,0.56249582,N/A
346,2013,b11,0.0,others,0,0.56249582,N/A
347,2013,b12,0.0,corn,0,0.54162601,N/A
348,2013,b13,0.0,corn,0,0.54162601,N/A
349,2013,b14,0.0,others,0,0.56981456,N/A
350,2013,b15,0.0,others,0,0.56249582,N/A
351,2013,b16,0.0,others,0,0.56249582,N/A
352,2013,b17,0.0,corn,0,0.51850454,N/A
353,2013,b18,0.0,others,0,0.56565037,N/A
354,2013,b19,279.3208643,corn,1,2.18807692,25003.303629853497
355,2013,b20,0.0,others,0,0.55359192,N/A
356,2013,b21,279.4801276,corn,1,2.2054565,25004.112024324993
357,2013,b22,0.0,corn,0,0.51850454,N/A
358,2013,b23,0.0,corn,0,0.51850454,N/A
359,2013,b24,0.0,corn,0,0.51850454,N/A
360,2013,b25,0.0,others,0,0.55359192,N/A
361,2013,b26,0.0,others,0,0.55359192,N/A
362,2013,b27,279.5030064,corn,1,2.20551157,25013.38686399249
363,2013,b28,279.5030064,corn,1,2.20551157,25013.38686399249
364,2013,b29,0.0,corn,0,0.51850454,N/A
365,2013,b30,279.3840224,corn,1,2.20522506,25003.617647707233
366,2013,b31,279.3888266,corn,1,2.18825273,25003.65792006233
367,2013,b32,279.4476651,corn,1,2.18840484,25003.955385320118
368,2013,b33,0.0,corn,0,0.45218139,N/A
369,2013,b34,0.0,others,0,0.55359192,N/A
370,2013,b35,180.1661023,others,1,0.7414422,N/A
371,2013,b36,279.2543961,corn,1,2.17272327,25002.95119468905
372,2013,b37,0.0,others,0,0.54318809,N/A
373,2013,b38,0.0,others,0,0.54318809,N/A
374,2013,b39,279.8363244,corn,1,2.17431187,25013.438228044695
375,2013,b40,0.0,others,0,0.54318809,N/A
376,2013,b41,0.0,corn,0,0.45218139,N/A
377,2013,b42,0.0,others,0,0.55359192,N/A
378,2013,b43,173.6159395,others,1,0.74114004,N/A
379,2013,b44,0.0,others,0,0.55359192,N/A
380,2013,b45,0.0,others,0,0.54318809,N/A
381,2013,b46,0.0,others,0,0.54318809,N/A
382,2013,b47,0.0,others,0,0.54318809,N/A
383,2013,b48,0.0,others,0,0.54318809,N/A
384,2013,b49,279.26401500000003,corn,1,2.1727496,25003.00907712179
385,2013,b50,0.0,others,0,0.54318809,N/A
386,2013,b51,0.0,others,0,0.52621132,N/A
387,2013,b52,0.0,others,0,0.52621132,N/A
388,2013,b53,279.6201309,corn,1,2.18677792,25013.40667716865
389,2013,b54,0.0,others,0,0.55214802,N/A
390,2013,b55,0.0,others,0,0.55214802,N/A
391,2013,b56,279.5030064,corn,1,2.18647314,25013.38686399249
392,2013,b57,178.6902392,others,1,0.73974506,N/A
393,2013,b58,279.546595,corn,1,2.16493467,25013.397446168725
394,2013,b59,0.0,others,0,0.53741652,N/A
395,2013,b60,179.37144560000002,others,1,0.74000874,N/A
396,2013,b61,279.5492062,corn,1,2.16494201,25013.397446168725
397,2013,b62,279.8593968,corn,1,2.16581249,25013.44684619591
398,2013,b63,0.0,others,0,0.52698014,N/A
399,2013,b64,279.7862856,corn,1,2.18720968,25013.43277069609
400,2013,b65,0.0,others,0,0.55214802,N/A
401,2013,b66,0.0,others,0,0.55214802,N/A
402,2013,b67,0.0,corn,0,0.44429971,N/A
403,2013,b68,178.83799799999997,others,1,0.73980258,N/A
404,2013,b69,279.693244,corn,1,2.16534653,25013.411938303256
405,2013,b70,0.0,others,0,0.53741652,N/A
406,2013,b71,279.28459100000003,corn,1,2.16419745,25003.111564082876
407,2013,b72,279.3332381,corn,1,2.16433447,25003.3767761436
408,2013,b73,179.5767919,others,1,0.74008747,N/A
409,2013,b74,0.0,others,0,0.52698014,N/A
410,2013,b75,0.0,others,0,0.52698014,N/A
411,2013,b76,279.45901630000003,corn,1,2.18635857,25004.002640371422
412,2013,b77,279.5104211,corn,1,2.18649244,25013.38686399249
413,2013,b78,172.79355859999998,others,1,0.74054677,N/A
414,2013,b79,279.530209,corn,1,2.18654396,25013.39198875879
415,2013,b80,279.64272470000003,corn,1,2.16520471,25013.40685816762
416,2013,b81,279.6447977,corn,1,2.16521053,25013.40685816762
417,2013,b82,279.2602656,corn,1,2.16412892,25002.987073315293
418,2013,b83,279.6102885,corn,1,2.16511362,25013.40667716865
419,2013,b84,0.0,corn,0,0.36456883,N/A
420,2013,b85,279.5406155,corn,1,2.16491787,25013.397446168725
421,2013,b86,0.0,others,0,0.52698014,N/A
422,2013,b87,279.76828309999996,corn,1,2.18716294,25013.43277069609
423,2013,b88,172.79355859999998,others,1,0.74054677,N/A
424,2013,b89,172.79355859999998,others,1,0.74054677,N/A
425,2013,b90,279.4754516,corn,1,2.18640138,25004.08164193661
426,2013,b91,178.6902392,others,1,0.73974506,N/A
427,2013,b92,279.4563166,corn,1,2.16468085,25003.989545669778
428,2013,b93,279.66590790000004,corn,1,2.1652698,25013.40685816762
429,2013,b94,279.3715194,corn,1,2.16444225,25003.57622745755
430,2013,b95,0.0,corn,0,0.36456883,N/A
431,2013,b96,279.2031017,corn,1,2.1639678,25002.68405083471
432,2013,b97,279.4617707,corn,1,2.17627995,25004.017384085222
433,2013,b98,279.5773537,corn,1,2.17659226,25013.406784179857
434,2013,b99,279.6033515,corn,1,2.17666245,25013.40667716865
435,2013,b100,279.6139308,corn,1,2.17669101,25013.40667716865
436,2013,b101,279.4013427,corn,1,2.16982618,25003.704892519625
437,2013,b102,279.3474946,corn,1,2.16967727,25003.447056615652
438,2013,b103,0.0,others,0,0.54096341,N/A
439,2013,b104,177.25945679999998,others,1,0.7399271,N/A
440,2013,b105,279.56383800000003,corn,1,2.17027511,25013.401806756043
441,2013,b106,279.5034508,corn,1,2.17010836,25013.38686399249
442,2013,b107,0.0,others,0,0.53289337,N/A
443,2013,b108,0.0,others,0,0.53289337,N/A
444,2013,b109,279.5913714,corn,1,2.17663011,25013.406784179857
445,2013,b110,279.576035,corn,1,2.17658869,25013.406784179857
446,2013,b111,279.4150724,corn,1,2.17615367,25003.77812782623
447,2013,b112,279.414336,corn,1,2.17615168,25003.776246005815
448,2013,b113,0.0,others,0,0.54096341,N/A
449,2013,b114,279.40006270000003,corn,1,2.16982264,25003.69886076376
450,2013,b115,279.62022609999997,corn,1,2.17043073,25013.40667716865
451,2013,b116,279.5790261,corn,1,2.17031703,25013.406784179857
452,2013,b117,177.25945679999998,others,1,0.7399271,N/A
453,2013,b118,183.2033248,others,1,0.7405504,N/A
454,2013,b119,279.599652,corn,1,2.17665247,25013.40667716865
455,2013,b120,279.5841104,corn,1,2.1766105,25013.406784179857
456,2013,b121,176.6038163,others,1,0.74055059,N/A
457,2013,b122,279.6463417,corn,1,2.1767785,25013.40685816762
458,2013,b123,176.61790870000002,others,1,0.73967775,N/A
459,2013,b124,0.0,others,0,0.54096341,N/A
460,2013,b125,279.6355248,corn,1,2.17047294,25013.40685816762
461,2013,b126,279.59532110000004,corn,1,2.17036201,25013.40667716865
462,2013,b127,279.2100868,corn,1,2.16929692,25002.727129676834
463,2013,b128,279.5030064,corn,1,2.15798974,25013.38686399249
464,2013,b129,0.0,others,0,0.54521687,N/A
465,2013,b130,0.0,corn,0,0.40663479,N/A
466,2013,b131,279.6381458,corn,1,2.17675638,25013.40685816762
467,2013,b132,279.6397684,corn,1,2.17676076,25013.40685816762
468,2013,b133,176.6732094,others,1,0.73969938,N/A
469,2013,b134,279.4122904,corn,1,2.16985645,25003.75853399085
470,2013,b135,0.0,others,0,0.54096341,N/A
